PERIOD,ID,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,V_15,V_16,V_17,V_18,V_19,V_20,V_21,V_22,V_23,V_24,V_25,V_26,V_27,V_28,V_29,V_30,V_31,V_32,V_33,V_34,V_35,V_36,V_37,V_38,V_39,V_40,V_41,V_42,V_43
2,945,29.0,8.0,0.0,,1.0,0.0,0.0,1.0,0.0,28.0,7.0,31.25,271.78,254.82,15.73,0.0,0.0,1.23,0.0,0.0,0.0,186.261804,266.1,167.95,98.15,0.0,0.0,171.0,146.0,15.0,,132.0,69.0,63.0,0.0,0.0,115.0,13.75,8.0,177.172884,95.0,0.0,0.0
3,945,27.0,18.0,,1.0,1.0,0.0,1.0,1.0,0.0,26.0,11.0,67.35,529.88,494.92,30.92,0.0,0.0,4.04,1.0,0.0,0.0,374.077807,254.3,202.48,51.82,0.0,0.0,360.0,313.0,39.0,0.0,187.0,142.0,45.0,0.0,0.0,98.0,8.095,,350.94427,95.0,0.0,0.0
1,946,24.0,26.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,21.0,13.0,77.37,419.13,336.25,61.28,0.0,20.05,1.55,0.0,0.0,0.0,1074.261943,,389.93,78.58,0.0,15.05,223.0,186.0,19.0,0.0,213.0,172.0,29.0,,12.0,456.6,11.923666666666698,,976.942951,456.6,0.0,0.0
2,946,26.0,29.0,3.0,1.0,,0.0,,1.0,,23.0,12.0,76.35,,494.12,77.45,0.0,0.15,2.45,2.0,0.0,1.0,1290.254825,569.68,477.22,91.97,0.0,0.5,266.0,219.0,27.0,0.0,,217.0,32.0,0.0,2.0,446.55,14.016912772000001,25.0,1258.612315,446.55,0.0,0.0
3,946,23.0,31.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,22.0,16.0,60.62,559.82,488.28,69.73,0.0,1.8,0.01,16.0,1.0,4.0,1844.2937769999999,696.27,524.35,163.95,6.4,1.57,235.0,194.0,37.0,0.0,291.0,213.0,73.0,1.0,4.0,1073.95,118.04678800123301,26.0,1683.592618,1073.95,2.0,88.903614
1,947,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,5.0,28.87,228.03,203.85,12.52,0.0,0.0,11.66,0.0,,0.0,0.0,130.13,100.8,28.27,,0.0,97.0,62.0,9.0,0.0,50.0,32.0,17.0,0.0,0.0,87.2,4.4725,0.0,0.0,87.2,0.0,0.0
2,947,30.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,27.0,18.0,152.4,490.55,375.78,101.8,0.0,,,0.0,0.0,1.0,0.0,139.85,36.98,102.87,0.0,,137.0,72.0,37.0,0.0,55.0,21.0,34.0,0.0,,126.54,,0.0,,126.54,,0.0
3,947,21.0,0.0,,1.0,1.0,0.0,,0.0,0.0,16.0,7.0,59.2,391.22,,10.78,0.0,0.0,3.06,,0.0,0.0,0.0,204.35,163.78,40.57,0.0,0.0,52.0,31.0,9.0,,24.0,15.0,,0.0,0.0,65.88,,0.0,,65.88,0.0,0.0
1,948,30.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,30.0,3.0,90.8,449.22,448.65,0.57,0.0,0.0,,0.0,0.0,0.0,0.0,,541.42,8.28,0.0,0.0,390.0,385.0,,0.0,517.0,,10.0,0.0,0.0,49.25,1.255,0.0,0.0,49.25,,0.0
2,948,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,7.0,216.15,699.97,695.7,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.82,859.62,5.2,0.0,0.0,448.0,441.0,7.0,0.0,511.0,505.0,6.0,0.0,0.0,57.75,15.6990726026667,0.0,0.0,57.75,0.0,0.0
3,948,31.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,31.0,1.0,163.73,730.78,730.28,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,478.35,467.48,10.87,0.0,0.0,443.0,442.0,1.0,,482.0,465.0,17.0,0.0,0.0,,1.645,0.0,0.0,53.5,0.0,0.0
1,949,30.0,,5.0,1.0,1.0,0.0,1.0,1.0,0.0,29.0,9.0,111.62,422.02,353.85,68.12,0.0,,0.05,3.0,,0.0,2718.033821,,235.25,,0.0,0.0,141.0,122.0,17.0,0.0,154.0,,27.0,,0.0,,4.0075,,2715.1490559999997,99.62,0.0,0.0
2,949,27.0,25.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,27.0,4.0,31.22,343.45,,43.22,0.0,0.0,0.0,0.0,0.0,0.0,4820.999333,228.78,222.45,6.33,0.0,0.0,127.0,120.0,7.0,0.0,154.0,144.0,10.0,0.0,0.0,95.0,0.795,25.0,4712.245952,95.0,0.0,0.0
3,949,23.0,18.0,0.0,1.0,1.0,,0.0,1.0,0.0,22.0,6.0,79.2,,552.68,40.72,0.0,0.0,0.1,0.0,0.0,0.0,3448.7597060000003,366.32,349.55,16.77,0.0,0.0,129.0,117.0,11.0,0.0,136.0,128.0,8.0,0.0,0.0,97.0,2.53,15.0,3390.189786,,0.0,0.0
1,950,,30.0,,,1.0,0.0,,,0.0,27.0,9.0,91.72,413.08,378.82,34.13,0.0,0.0,0.13,0.0,0.0,,2475.2220780000002,191.13,182.4,8.73,0.0,0.0,82.0,69.0,12.0,,55.0,45.0,10.0,0.0,0.0,50.0,1.32,30.0,2500.928569,50.0,,0.0
2,950,20.0,28.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,19.0,9.0,72.33,282.7,242.12,40.58,0.0,0.0,,0.0,2.0,0.0,3608.237572,312.18,290.33,,0.0,0.0,55.0,42.0,13.0,0.0,72.0,56.0,16.0,0.0,0.0,51.5,3.2975,28.0,3608.28789,51.5,0.0,0.0
3,950,25.0,31.0,,1.0,1.0,0.0,0.0,1.0,0.0,23.0,9.0,36.28,420.4,387.5,31.93,0.0,0.0,0.97,0.0,,,1491.378034,203.43,119.15,84.28,0.0,0.0,79.0,60.0,14.0,0.0,69.0,51.0,18.0,0.0,0.0,129.36,12.6675,31.0,1491.483172,94.36,0.0,0.0
1,951,29.0,30.0,1.0,,1.0,0.0,,1.0,,28.0,18.0,55.57,242.02,182.07,59.87,0.0,0.0,0.08,0.0,1.0,0.0,1182.57508,101.07,60.48,35.93,3.45,0.0,134.0,89.0,44.0,0.0,42.0,14.0,25.0,2.0,0.0,114.0,14.508912266666698,30.0,1179.158229,114.0,0.0,0.0
2,951,28.0,,,1.0,1.0,0.0,1.0,1.0,0.0,26.0,,32.58,129.55,112.55,12.45,0.0,0.0,4.55,1.0,3.0,0.0,1363.289496,,88.43,10.23,0.0,0.0,81.0,64.0,16.0,0.0,33.0,,10.0,0.0,0.0,112.0,2.551,31.0,1343.143936,112.0,0.0,0.0
3,951,29.0,31.0,0.0,1.0,1.0,0.0,,1.0,0.0,26.0,20.0,41.78,,168.67,36.38,0.0,0.0,1.02,,0.0,0.0,1221.46274,114.23,105.43,8.8,,0.0,121.0,84.0,,,37.0,25.0,12.0,0.0,0.0,107.5,1.335,31.0,1130.14386,107.5,,0.0
1,952,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,,1125.55,1123.78,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0,1063.42,1063.42,0.0,0.0,0.0,258.0,245.0,0.0,0.0,206.0,206.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,55.0,0.0,0.0
2,952,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,29.0,0.0,392.07,1499.47,1497.97,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1327.15,1311.85,15.3,0.0,0.0,229.0,210.0,0.0,0.0,185.0,184.0,,0.0,0.0,55.0,2.295,0.0,0.0,55.0,0.0,0.0
3,952,30.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,30.0,0.0,,1592.6,1589.3,0.0,0.0,0.0,3.3,,0.0,0.0,0.0,1475.32,1475.32,0.0,0.0,0.0,245.0,222.0,0.0,,212.0,,0.0,0.0,0.0,110.0,0.0,0.0,0.0,110.0,0.0,0.0
1,953,,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,15.0,0.0,6.98,,66.88,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,101.17,84.25,16.92,0.0,,37.0,20.0,0.0,0.0,41.0,31.0,10.0,0.0,0.0,57.0,0.795,0.0,,57.0,0.0,0.0
2,953,16.0,0.0,,1.0,0.0,,0.0,0.0,,16.0,0.0,10.47,106.42,103.9,,0.0,0.0,2.52,0.0,0.0,0.0,0.0,147.08,127.07,20.02,0.0,0.0,45.0,23.0,,0.0,56.0,,12.0,0.0,0.0,57.0,,0.0,,57.0,0.0,0.0
3,953,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,10.0,0.0,11.73,60.02,59.08,,0.0,0.0,0.94,0.0,0.0,0.0,0.0,77.47,67.62,9.85,0.0,0.0,27.0,18.0,0.0,,29.0,,6.0,0.0,0.0,57.0,0.0,0.0,0.0,57.0,0.0,0.0
1,954,30.0,30.0,14.0,1.0,1.0,0.0,1.0,1.0,0.0,30.0,26.0,124.75,1000.65,413.83,578.67,0.0,0.0,8.15,5.0,39.0,0.0,6516.628537,887.13,464.03,423.1,,0.0,495.0,315.0,175.0,0.0,457.0,313.0,144.0,0.0,0.0,,62.5325,29.0,5834.588734,164.4,0.0,0.0
2,954,31.0,31.0,12.0,,1.0,0.0,1.0,,,31.0,17.0,336.15,1294.08,1172.3,121.78,0.0,0.0,0.0,30.0,7.0,0.0,7517.292458,1993.62,1797.3,196.32,,0.0,503.0,454.0,49.0,,615.0,,54.0,0.0,0.0,187.55,29.5125,31.0,7144.746344,137.55,0.0,
3,954,,28.0,6.0,1.0,1.0,0.0,1.0,1.0,0.0,31.0,,,942.58,875.22,38.5,0.0,,,88.0,0.0,0.0,11228.674394,927.08,860.77,66.32,0.0,0.0,519.0,482.0,31.0,0.0,613.0,,65.0,0.0,0.0,283.94,13.16,27.0,10693.181209,243.94,0.0,
1,955,,7.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,19.0,,106.05,406.25,303.38,101.77,0.0,0.0,1.1,,0.0,0.0,50.374411,169.17,132.07,37.1,0.0,0.0,83.0,62.0,15.0,0.0,,44.0,,,0.0,57.72,5.5925,0.0,0.0,57.72,0.0,0.0
2,955,14.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,35.5,99.25,99.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,121.57283400000001,420.18,306.42,113.77,0.0,0.0,32.0,29.0,0.0,0.0,66.0,59.0,7.0,0.0,0.0,37.28,17.0775,0.0,0.0,37.28,0.0,0.0
3,955,10.0,7.0,,,0.0,0.0,0.0,1.0,,9.0,0.0,10.83,55.17,54.98,,0.0,0.0,0.19,0.0,,0.0,,,254.08,56.13,0.0,,,21.0,0.0,,47.0,43.0,4.0,0.0,0.0,,8.4275,0.0,,78.47,0.0,
1,956,28.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,28.0,8.0,76.03,258.45,236.93,21.4,0.0,0.0,0.12,0.0,0.0,0.0,33.431098999999996,223.6,203.98,17.13,2.48,0.0,212.0,195.0,14.0,0.0,169.0,156.0,,1.0,0.0,68.18,10.176053085,3.0,29.364553000000004,68.18,0.0,0.0
2,956,30.0,15.0,0.0,1.0,,0.0,0.0,1.0,0.0,30.0,10.0,86.62,403.22,375.02,27.77,0.0,0.0,,0.0,,0.0,247.749616,247.25,220.52,26.73,0.0,0.0,363.0,336.0,17.0,0.0,265.0,242.0,23.0,0.0,0.0,,4.0475,14.0,208.826,64.7,0.0,0.0
3,956,31.0,7.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,31.0,3.0,77.55,303.57,293.43,9.85,0.0,0.0,0.29,2.0,0.0,0.0,164.092196,284.7,,7.63,1.43,0.0,271.0,264.0,3.0,0.0,281.0,,9.0,1.0,0.0,65.76,5.255518365,7.0,140.200303,65.76,0.0,0.0
1,957,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,957,24.0,27.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,8.47,103.68,,0.0,0.0,0.0,1.08,1.0,,0.0,1067.8170400000001,55.17,55.17,0.0,0.0,0.0,91.0,83.0,0.0,0.0,48.0,48.0,0.0,0.0,,50.0,8.08592455673333,18.0,525.492488,50.0,0.0,0.0
3,957,25.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,0.0,13.08,79.45,78.37,0.0,0.0,0.0,1.08,0.0,0.0,0.0,814.245933,,65.12,1.83,,0.0,78.0,74.0,0.0,0.0,52.0,51.0,1.0,0.0,0.0,75.0,0.275,20.0,436.248616,75.0,0.0,0.0
1,958,13.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,13.0,1.0,11.6,,100.38,2.17,0.0,0.0,5.88,,0.0,0.0,0.993442,69.22,69.22,0.0,0.0,0.0,79.0,,1.0,0.0,41.0,41.0,0.0,,0.0,68.15,0.0,1.0,0.993442,,,0.0
2,958,4.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,4.0,1.0,16.92,29.4,28.62,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.97,,0.0,0.0,0.0,23.0,22.0,1.0,0.0,10.0,10.0,,,0.0,,0.0,0.0,0.0,56.85,,0.0
3,958,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,,15.22,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0
1,959,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,285.62,1028.93,1028.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645.85,645.85,0.0,0.0,0.0,,192.0,0.0,0.0,,107.0,,0.0,0.0,46.0,0.0,0.0,0.0,,0.0,0.0
2,959,31.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,2.0,329.2,1436.25,1434.1,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,886.63,1.97,0.0,0.0,268.0,266.0,2.0,0.0,136.0,135.0,1.0,0.0,0.0,53.3,0.0,0.0,0.0,53.3,0.0,0.0
3,959,31.0,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,30.0,4.0,342.15,,1066.98,13.4,0.0,,0.0,1.0,0.0,0.0,0.0,759.6,753.18,6.42,0.0,0.0,195.0,190.0,5.0,0.0,96.0,94.0,2.0,0.0,0.0,58.6,0.925,0.0,0.0,58.6,0.0,0.0
1,960,18.0,18.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,14.0,10.0,1.38,78.18,29.73,10.57,0.0,0.0,37.88,1.0,1.0,0.0,5137.4542329999995,,83.17,32.17,0.0,,77.0,38.0,17.0,0.0,128.0,87.0,41.0,0.0,,160.2,10.435,16.0,4836.544268,160.2,,0.0
2,960,25.0,20.0,2.0,1.0,1.0,0.0,,1.0,0.0,19.0,17.0,12.57,89.72,37.6,29.48,0.0,0.0,,2.0,0.0,0.0,,122.98,84.18,38.8,0.0,0.0,93.0,51.0,30.0,0.0,127.0,91.0,36.0,0.0,0.0,40.0,9.5255066,20.0,9132.956852,,0.0,0.0
3,960,27.0,22.0,2.0,1.0,1.0,0.0,,1.0,0.0,25.0,16.0,7.2,81.03,37.62,19.25,0.0,,24.16,1.0,1.0,0.0,10390.439325,,,30.13,0.0,,103.0,59.0,,0.0,115.0,86.0,29.0,0.0,0.0,156.61,8.18,18.0,10339.33303,156.61,0.0,
1,961,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,,,23.0,0.0,,0.0,1.57,0.0,0.0,0.0,0.0,207.48,207.48,0.0,0.0,0.0,59.0,47.0,0.0,0.0,99.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,961,26.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,25.0,0.0,28.68,57.33,,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0.0,172.85,172.85,0.0,0.0,0.0,109.0,87.0,0.0,0.0,152.0,152.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,0.0,0.0
3,961,21.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,36.23,103.75,101.58,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.149137,165.22,165.22,0.0,0.0,0.0,123.0,98.0,0.0,0.0,134.0,,0.0,,0.0,0.0,0.0,1.0,0.000204,0.0,0.0,0.0
1,962,30.0,4.0,0.0,1.0,1.0,0.0,,1.0,0.0,30.0,1.0,83.23,273.92,268.07,3.33,,,2.52,0.0,0.0,0.0,10.523705999999999,286.68,286.68,0.0,0.0,0.0,152.0,143.0,1.0,0.0,136.0,136.0,0.0,0.0,0.0,92.93,0.0,4.0,,92.93,0.0,0.0
2,962,24.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,3.0,74.65,471.83,,1.35,0.0,0.0,1.9,0.0,,0.0,19.487092999999998,178.65,178.65,0.0,0.0,0.0,125.0,119.0,3.0,0.0,73.0,73.0,0.0,0.0,0.0,55.0,0.0,4.0,17.535513,55.0,0.0,0.0
3,962,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,98.8,490.65,490.45,0.0,0.0,0.0,0.2,,0.0,0.0,,111.25,96.52,14.73,,0.0,112.0,109.0,0.0,0.0,53.0,50.0,3.0,0.0,0.0,55.0,2.215,,0.0,55.0,0.0,
1,963,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,3.0,38.82,79.77,,2.63,0.0,0.0,0.01,0.0,0.0,0.0,0.0,145.65,137.55,8.1,0.0,0.0,23.0,19.0,4.0,0.0,37.0,28.0,9.0,0.0,0.0,72.6,1.2375,0.0,0.0,72.6,0.0,
2,963,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,87.42,163.65,161.25,2.33,,0.0,0.07,0.0,0.0,0.0,0.0,49.53,47.17,,0.0,0.0,42.0,38.0,3.0,0.0,18.0,15.0,3.0,0.0,0.0,75.35,,0.0,0.0,,0.0,0.0
3,963,4.0,,0.0,,1.0,0.0,,0.0,,3.0,1.0,0.0,,12.28,0.48,0.0,,0.91,,,0.0,0.0,222.2,222.2,0.0,0.0,0.0,8.0,4.0,,0.0,11.0,11.0,0.0,0.0,0.0,16.25,0.0,0.0,0.0,,0.0,0.0
1,964,23.0,29.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,23.0,2.0,32.78,90.85,87.95,2.9,0.0,0.0,0.0,49.0,0.0,0.0,2197.618997,119.88,116.88,3.0,0.0,0.0,69.0,64.0,5.0,0.0,95.0,,4.0,0.0,,50.0,,19.0,481.458983,,14.0,348.82586000000003
2,964,14.0,28.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,12.0,4.0,42.38,98.48,88.18,8.28,0.0,0.0,2.02,7.0,0.0,0.0,4877.520282,287.15,157.93,49.85,79.37,,24.0,16.0,6.0,0.0,69.0,55.0,10.0,4.0,,50.0,32.303148584,24.0,1021.464293,50.0,26.0,3793.8241659999994
3,964,28.0,31.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,28.0,3.0,16.5,162.02,155.67,6.35,0.0,0.0,0.0,7.0,0.0,0.0,4713.008643,353.5,191.82,,142.47,0.0,89.0,86.0,3.0,0.0,156.0,140.0,6.0,9.0,0.0,79.0,49.9081317106667,17.0,618.4352,79.0,10.0,1608.9247699999999
1,965,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,3.05,4.85,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,146.27,137.2,9.07,0.0,0.0,12.0,12.0,0.0,,52.0,44.0,8.0,0.0,0.0,0.0,1.325,0.0,0.0,0.0,0.0,0.0
2,965,6.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,1.07,4.07,3.52,0.0,0.0,,0.55,0.0,,0.0,0.0,127.73,125.35,2.38,0.0,0.0,14.0,13.0,0.0,,65.0,,10.0,0.0,0.0,0.0,0.15966666666666698,0.0,0.0,0.0,0.0,0.0
3,965,5.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,5.0,0.0,0.38,5.72,3.9,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,250.05,236.37,13.68,0.0,0.0,15.0,10.0,0.0,,55.0,42.0,13.0,0.0,0.0,0.0,0.8325,0.0,0.0,0.0,0.0,0.0
1,966,29.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,28.0,12.0,177.63,710.03,640.32,66.98,0.0,0.0,2.73,0.0,0.0,,361.230672,856.03,786.05,69.98,0.0,0.0,168.0,133.0,22.0,,189.0,163.0,26.0,0.0,0.0,106.1,10.1725,12.0,255.726427,106.1,0.0,
2,966,31.0,19.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,31.0,17.0,217.05,913.93,816.48,97.38,0.0,0.0,,22.0,21.0,0.0,348.90031,851.4,789.82,61.58,,0.0,,206.0,36.0,0.0,,210.0,33.0,,0.0,73.0,7.95,15.0,305.131646,73.0,0.0,0.0
3,966,31.0,19.0,13.0,1.0,1.0,0.0,1.0,1.0,0.0,31.0,18.0,274.62,711.72,630.38,81.33,0.0,0.0,0.01,83.0,37.0,0.0,179.355524,865.52,797.1,68.42,0.0,0.0,216.0,169.0,,,,216.0,34.0,0.0,0.0,95.0,7.16,10.0,86.281377,,,0.0
1,967,22.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,21.0,2.0,34.55,128.53,89.03,39.5,0.0,0.0,0.0,,0.0,0.0,,101.8,79.43,22.37,0.0,0.0,49.0,45.0,4.0,0.0,39.0,22.0,17.0,0.0,0.0,61.0,3.3775,,0.0,61.0,0.0,0.0
2,967,26.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,26.0,0.0,102.85,184.73,184.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,144.97,89.98,54.98,0.0,0.0,53.0,53.0,0.0,0.0,39.0,18.0,21.0,0.0,0.0,55.0,8.275,0.0,0.0,55.0,0.0,0.0
3,967,20.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,2.0,20.87,209.68,148.32,61.37,0.0,0.0,-0.01,0.0,,0.0,0.0,119.37,,79.2,0.0,0.0,37.0,35.0,2.0,,37.0,13.0,24.0,0.0,,129.2,11.8575,0.0,,129.2,0.0,0.0
1,968,29.0,27.0,3.0,1.0,1.0,0.0,1.0,,0.0,29.0,3.0,267.73,,706.35,2.35,0.0,0.0,0.0,4.0,1.0,0.0,1252.689529,722.47,667.1,55.37,0.0,,235.0,231.0,4.0,0.0,217.0,206.0,,0.0,0.0,85.4,8.1425,27.0,989.828102,85.4,0.0,0.0
2,968,31.0,11.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,31.0,1.0,207.87,622.45,621.93,0.52,0.0,0.0,0.0,0.0,0.0,0.0,178.858896,649.53,630.88,18.65,0.0,0.0,202.0,201.0,1.0,0.0,,204.0,5.0,0.0,0.0,50.6,2.7225,11.0,177.7834,50.6,0.0,0.0
3,968,31.0,31.0,0.0,1.0,0.0,0.0,0.0,1.0,,31.0,0.0,121.73,510.67,510.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.485204,388.93,330.13,58.8,0.0,0.0,186.0,186.0,0.0,,172.0,163.0,9.0,0.0,0.0,,8.7925,31.0,,50.0,0.0,0.0
1,969,30.0,28.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,30.0,1.0,,419.95,418.62,1.33,0.0,0.0,0.0,4.0,3.0,0.0,,629.62,587.13,,0.0,0.0,136.0,134.0,2.0,0.0,216.0,200.0,14.0,,0.0,,6.2775,28.0,3487.645368,75.0,0.0,
2,969,31.0,30.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,31.0,1.0,158.08,,563.38,0.35,0.0,,1.57,2.0,1.0,0.0,4838.965517000001,675.33,664.28,11.05,0.0,,183.0,178.0,,0.0,237.0,235.0,,0.0,0.0,77.0,1.6375,30.0,4803.187761,77.0,0.0,0.0
3,969,24.0,24.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,22.0,2.0,74.18,455.73,452.4,1.37,0.0,0.0,1.96,0.0,0.0,0.0,3133.73036,392.27,354.25,38.02,0.0,0.0,123.0,115.0,2.0,0.0,113.0,,5.0,0.0,0.0,78.0,5.76,24.0,3041.611332,78.0,0.0,0.0
1,970,28.0,25.0,2.0,1.0,,0.0,1.0,1.0,0.0,28.0,1.0,266.12,1212.28,1212.08,0.2,0.0,0.0,0.0,,0.0,0.0,2175.765722,870.23,870.23,0.0,0.0,0.0,288.0,287.0,1.0,0.0,195.0,195.0,0.0,0.0,0.0,41.0,0.0,25.0,2121.441375,41.0,0.0,0.0
2,970,31.0,30.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,31.0,0.0,750.58,2443.6,2443.6,0.0,,0.0,0.0,,0.0,0.0,3977.124593,717.0,717.0,,,0.0,,424.0,0.0,0.0,166.0,166.0,0.0,0.0,0.0,57.0,0.0,30.0,3993.037992,57.0,0.0,0.0
3,970,25.0,12.0,1.0,1.0,,0.0,,1.0,0.0,25.0,,130.93,480.37,479.98,0.38,0.0,0.0,0.01,0.0,1.0,0.0,2540.38695,749.03,741.6,,0.0,0.0,130.0,129.0,1.0,0.0,122.0,119.0,3.0,0.0,0.0,69.0,0.4075,12.0,2514.2639059999997,69.0,0.0,0.0
1,971,17.0,19.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,39.4,140.52,129.65,0.0,0.0,0.0,10.87,0.0,0.0,0.0,977.156465,117.27,113.53,3.73,0.0,0.0,77.0,73.0,0.0,0.0,86.0,84.0,2.0,0.0,0.0,55.0,2.19,19.0,,55.0,0.0,0.0
2,971,28.0,28.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,28.0,0.0,,,150.22,0.0,0.0,,0.0,2.0,0.0,0.0,118.89011699999999,148.48,148.48,0.0,0.0,0.0,120.0,120.0,0.0,0.0,,97.0,0.0,0.0,0.0,153.0,0.0,27.0,85.309039,153.0,0.0,0.0
3,971,26.0,31.0,,1.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,31.2,89.82,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,110.35,110.35,0.0,0.0,,110.0,110.0,0.0,0.0,88.0,88.0,0.0,0.0,0.0,95.0,0.0,31.0,397.59979,95.0,0.0,0.0
1,972,30.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,30.0,,284.48,885.88,883.12,1.13,0.0,,1.63,0.0,0.0,0.0,64.782138,815.22,804.13,11.08,0.0,0.0,284.0,282.0,1.0,,316.0,295.0,21.0,0.0,0.0,,1.1975,4.0,64.782138,51.2,0.0,
2,972,31.0,11.0,0.0,1.0,0.0,,0.0,1.0,0.0,31.0,0.0,408.48,1090.65,1088.73,0.0,,0.0,1.92,0.0,0.0,0.0,386.078548,1712.02,1711.8,0.22,0.0,0.0,186.0,184.0,0.0,0.0,243.0,242.0,1.0,0.0,0.0,45.0,,,386.078548,45.0,0.0,0.0
